id,"method",id_parent,is_folder
69,"Электроразведка (Другой метод)",55,
70,"Дистанционное зондирование Земли (аэрокосмические методы)",,True
71,"Аэрогеохимия",70,
72,"Космофотосъемка",70,
73,"Аэрофотосъемка",70,
74,"Телевизионная съемка",70,
75,"Лидарная (лазерная) съемка",70,
76,"Инфракрасная съёмка",70,
77,"Радиолокационная съемка",70,
78,"Радиотепловая съёмка",70,
79,"Дистанционное зондирование Земли (аэрокосмические методы) (Другой метод)",70,
80,"Аэрогеофизические методы",,True
81,"Аэрогравиразведка",80,
82,"Аэромагниторазведка",80,
83,"Аэрогаммаспектрометрия",80,
84,"Аэроэлектроразведка",80,True
85,"Дипольное индуктивное профилирование (ДИП)",84,
86,"Дипольное электромагнитное профилирование (ДЭМП)",84,
87,"Метод естественного электрического поля (ЕП)",84,
88,"Метод длинного кабеля (ДК)",84,
89,"Метод вращающегося магнитного поля (ВМП)",84,
90,"Метод переходных процессов (МПП)",84,
91,"Метод радиокомпарирования и пеленгации (Радиокип)",84,
92,"Метод сверхдлинноволнового радиоэлектромагнитного профилирования (СДВР)",84,
93,"Аэроэлектроразведка (Другой метод)",84,
94,"Бурение скважин (стволов) и проходка горных выработок",,True
95,"Бурение скважин (стволов) с отбором керна",94,True
96,"Бурение скважин (стволов)",95,
97,"Геологическая документация керна",95,
98,"Радиометрическая документация керна",95,
99,"Проходка и опробование открытых и подземных горных выработок",94,True
100,"Исследования в скважинах и горных выработках",,True
101,"Геолого-технологические исследования в скважинах",100,True
102,"Виброакустический каротаж в процессе бурения",101,
103,"Газовый каротаж",101,
104,"Детально-механический каротаж",101,
105,"Желобная плотнометрия",101,
106,"Желобная термометрия",101,
107,"Каротаж по дифференциальному давлению",101,
108,"Каротаж по приращению объемного газосодержания промывочной жидкости",101,
109,"Керно-шламовый каротаж",101,
110,"Механический каротаж (МК)",101,
111,"Резистивиметрический метод выявления коллекторов",101,
112,"Фильтрационный каротаж (ФК)",101,
113,"Геолого-технологические исследования в скважинах (Другой метод)",101,
114,"Гидрогеология и инженерная геология",100,True
115,"Индикаторные методы в скважинах",114,
116,"Кустовые откачки",114,
117,"Наливы в шурфах по методу Гиринского (однокольцевой налив)",114,
118,"Наливы в шурфах по методу Нестерова (двукольцевой налив)",114,
119,"Опытные наливы и нагнетания в скважинах",114,
120,"Пробные и опытные откачки в поисково-оценочных скважинах",114,
121,"Прокачка скважин",114,
122,"Режимные наблюдения в скважинах",114,
123,"Экспресс-откачки из водозаборных скважин",114,
124,"Гидрогеология и инженерная геология (Другой метод)",114,
125,"Гравиразведка",100,True
126,"Магниторазведка",100,
127,"Геофизические исследования скважин (каротаж)",100,True
128,"Активационный каротаж",127,
129,"Активационный кислородный каротаж",127,
130,"Активационный нейтронный гамма-каротаж (АНГК)",127,
131,"Активационный нейтронный гамма-каротаж по быстрым нейтронам",127,
132,"Активационный нейтронный гамма-каротаж по тепловым нейтронам",127,
133,"Активационный углеродный каротаж",127,
134,"Акустический каротаж (АК)",127,
135,"Акустический каротаж на головных волнах",127,
136,"Боковое каротажное зондирование (БКЗ)",127,
137,"Боковой каротаж (БК)",127,
138,"Боковой микрокаротаж (БМК)",127,
139,"Боковой токовый каротаж (БТК)",127,
140,"Видеокаротаж",127,
141,"Волновой акустический каротаж (ВАК)",127,
142,"Волновой акустический каротаж с раздельным возбуждением волн",127,
143,"Волновой диэлектрический каротаж (ВДК)",127,
144,"Волновой электромагнитный каротаж (ВЭМК)",127,
145,"Высокочастотное индукционное каротажное изопараметрическое зондирование (ВИКИЗ)",127,
146,"Высокочастотный индукционный каротаж (ВИК)",127,
147,"Гамма-активационный каротаж",127,
148,"Гамма-гамма каротаж плотностной (ГГК-П)",127,
149,"Гамма-гамма каротаж селективный (ГГК-С)",127,
150,"Гамма-гамма-каротаж (ГГК)",127,
151,"Гамма-каротаж (ГК)",127,
152,"Гамма-нейтронный (фотонейтронный) каротаж",127,
153,"Гамма-нейтронный каротаж (ГНК)",127,
154,"Геохимический импульсный нейтрон-гамма спектрометрический каротаж",127,
155,"Гравиметрический градиентный каротаж",127,
156,"Гравиметрический каротаж",127,
157,"Гравитационный каротаж",127,
158,"Дифференциальный термокаротаж",127,
159,"Диэлектрический каротаж (ДК)",127,
160,"Диэлектрический микрокаротаж",127,
161,"Импульсный нейтрон-нейтронный каротаж (ИННК)",127,
162,"Импульсный нейтронный гамма-каротаж (ИНГК)",127,
163,"Импульсный нейтронный каротаж (ИНК)",127,
164,"Импульсный нейтронный каротаж по надтепловым нейтроном",127,
165,"Импульсный спектрометрический нейтронный гамма-каротаж (ИНГК-С)",127,
166,"Индукционное каротажное зондирование (ИКЗ)",127,
167,"Индукционный диэлектрический каротаж",127,
168,"Индукционный каротаж (ИК)",127,
169,"Индукционный каротаж методом переходных процессов (ИК МПП)",127,
170,"Интегральный гамма-каротаж (ИГК)",127,
171,"Каротаж вызванной поляризации",127,
172,"Каротаж градиента потенциалов самопроизвольной поляризации (ПСГ)",127,
173,"Каротаж естественного магнитного поля (КМП)",127,
174,"Каротаж магнитной восприимчивости (КМВ)",127,
175,"Каротаж потенциалов гальванических пар (КПГП)",127,
176,"Каротаж потенциалов самопроизвольной поляризации (ПС)",127,
177,"Каротаж скользящими контактами (КСК)",127,
178,"Каротаж сопротивлений (КС)",127,
179,"Каротаж сопротивления через колонну (дивергентный каротаж)",127,
180,"Каротаж электродных потенциалов (ЭП)",127,
181,"Гамма-гамма-каротаж компенсированный плотностной",127,
182,"Акустический кросс-дипольный каротаж (ВАК-КД)",127,
183,"Гамма-гамма-каротаж литоплотностной (ГГК-ЛП)",127,
184,"Микрокаротаж (МК)",127,
185,"Многозондовый диэлектрический каротаж",127,
186,"Многозондовый индукционный каротаж (МИК)",127,
187,"Многозондовый нейтронный гамма-каротаж (МНГК)",127,
188,"Многозондовый нейтронный каротаж (МНК)",127,
189,"Многоэлектродный боковой каротаж (БК-М)",127,
190,"Многоэлементный (многозондовый) акустический каротаж (МАК)",127,
191,"Нейтрон-нейтронный каротаж (ННК)",127,
192,"Нейтрон-нейтронный каротаж по надтепловым нейтронам (ННК-Нт)",127,
193,"Нейтрон-нейтронный каротаж по тепловым нейтронам (ННК-Т)",127,
194,"Нейтронно-плотностной каротаж",127,
195,"Нейтронный активационный гамма-каротаж (НАК)",127,
196,"Нейтронный гамма-каротаж (НГК)",127,
197,"Нейтронный каротаж (НК)",127,
198,"Нейтронный каротаж по запаздывающим нейтронам деления (КНД-З)",127,
199,"Нейтронный каротаж по мгновенным нейтронам деления (КНД-М)",127,
200,"Пластовая накпонометрия",127,
201,"Рентгенорадиометрический каротаж (РРК)",127,
202,"Рентгенофлюоресцентный каротаж",127,
203,"Сейсмический каротаж (сейсмокаротаж)",127,
204,"Микросейсмокаротаж",127,
205,"Сканирующий боковой микрокаротаж",127,
206,"Спектрометрический гамма-каротаж (СГК)",127,
207,"Спектрометрический нейтронный гамма-каротаж (НГК-С)",127,
208,"Стандартный электрический каротаж",127,
209,"Тензорный индукционный каротаж (ТИК)",127,
210,"Термодинамическое зондирование",127,
211,"Термометрия (термокаротаж)",127,
212,"Токовый каротаж (ТК)",127,
213,"Нейтронный томографический  каротаж",127,
214,"Углеродно-кислородный (С/О) каротаж",127,
215,"Ультразвуковой каротаж (УЗК)",127,
216,"Широкополосный акустический каротаж (АКШ)",127,
217,"Широкополосный акустический кросс-дипольный каротаж",127,
218,"Электромагнитный каротаж по затуханию (ЭМКЗ)",127,
219,"Ядерно-магнитный волновой каротаж (ЯМВК)",127,
220,"Ядерно-магнитный импульсный каротаж (ЯМИК)",127,
221,"Ядерно-магнитный каротаж (ЯМК)",127,
222,"Ядерно-магнитный томографический каротаж (ЯМТК)",127,
223,"Геофизические исследования скажин (каротаж) (Другой метод)",127,
224,"Методы исследований и контроля технического состояния скважин",100,True
225,"Акустическая дефектоскопия-толщинометрия",224,
226,"Акустическая цементометрия (АКЦ)",224,
227,"Акустическая скважинная шумометрия",224,
228,"Акустическое сканирование",224,
229,"Гамма-гамма дефектометрия",224,
230,"Гамма-гамма толщинометрия",224,
231,"Гамма-гамма цементометрия (ГГК-Ц)",224,
232,"Инклинометрия",224,
233,"Кавернометрия",224,
234,"Магнито-импульсная дефектоскопия",224,
235,"Магнитоимпульсная дефектоскопия – толщинометрия",224,
236,"Метод гидроакустической локации скважин и подземных полостей ( ГАЛС)",224,
237,"Метод скважинной индукционной дефектоскопии",224,
238,"Метод электромагнитной локации муфт (ЛМ)",224,
239,"Микрокавернометрия (МКВ)",224,
240,"Прихватоопределитель (ПХ)",224,
241,"Профилеметрия (радиусометрия)",224,
242,"Резистивиметрия",224,
243,"Скважинное акустическое телевидение (CAT)",224,
244,"Термометрия (термокаротаж)",224,
245,"Термометрия высокочувствительная (ТВЧ)",224,
246,"Электромагнитная дефектоскопия-толщинометрия",224,
247,"Методы исследований и контроля и технического состояния скважин (Другой метод)",224,
248,"Методы промыслово-геофизических исследований",100,True
249,"Акустическая скважинная шумометрия",248,
250,"Барометрия",248,
251,"Вискозиметрия",248,
252,"Влагометрия",248,
253,"Гидродинамический каротаж (ГДК)",248,
254,"Гидропрослушивание (ГДП)",248,
255,"Барометрия дифференциальная",248,
256,"Закачка короткоживущих радионуклидов",248,
257,"Испытание пластов на кабеле",248,
258,"Испытание пластов на трубах",248,
259,"Каротаж сейсмоакустической эмиссии (САЭ)",248,
260,"Манометрия",248,
261,"Метод кривой восстановления уровня (КВУ)",248,
262,"Метод кривой восстановления давления (КВД)",248,
263,"Метод кривой падения давления (КПД)",248,
264,"Метод кривой притока",248,
265,"Метод меченного вещества",248,
266,"Метод снятия индикаторных диаграмм (ИД)",248,
267,"Наклонометрия",248,
268,"Опробование пластов на кабеле",248,
269,"Опробование пластов на трубах",248,
270,"Плотнометрия",248,
271,"Плотностеметрия",248,
